
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_material_dark.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/solarized_light.theme
2024/06/19 (20:27:38) | DEBUG: Loading theme file: /usr/share/btop/themes/adapta.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/nord.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/everforest-dark-medium.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/horizon.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/paper.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix.theme
2024/06/19 (20:27:39) | DEBUG: Loading theme file: /usr/share/btop/themes/flat-remix-light.theme
2024/06/19 (20:27:40) | DEBUG: Loading theme file: /usr/share/btop/themes/tomorrow-night.theme

2024/06/21 (15:26:35) | ===> btop++ v.1.3.2
2024/06/21 (15:26:35) | INFO: Logger set to DEBUG
2024/06/21 (15:26:35) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/21 (15:26:35) | INFO: Running on /dev/pts/2
2024/06/21 (15:26:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/21 (15:26:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/21 (15:26:35) | DEBUG: Shared::init() : Initialized.

2024/06/22 (00:28:13) | ===> btop++ v.1.3.2
2024/06/22 (00:28:13) | INFO: Logger set to DEBUG
2024/06/22 (00:28:13) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/22 (00:28:13) | INFO: Running on /dev/pts/2
2024/06/22 (00:28:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/22 (00:28:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/22 (00:28:13) | DEBUG: Shared::init() : Initialized.

